note_name,timestamp
"Odoo Webshop","2025-04-03 14:39:00"
"Phase Odoo Entwicklung","2025-04-03 14:39:43"
"Nextcloud Destkop Client","2025-04-03 14:40:43"
"Wartungsauftrag","2025-04-03 14:42:53"
"Technologien","2025-04-03 14:43:50"
"Prozesse Odoo - App Point of Sale","2025-04-03 14:44:42"
"Python","2025-04-03 14:45:37"
"black","2025-04-03 14:47:33"
"Odoo.sh Upgrade","2025-04-03 14:47:36"
"Odoo Webshop Payrexx Checkliste","2025-04-03 14:48:11"
"Kurt Gisler","2025-04-03 14:48:48"
"TOC","2025-04-03 14:51:51"
"Prozesse Odoo - Lizenzierung","2025-04-03 14:51:55"
"Link 2500 Portable Flex","2025-04-03 14:53:13"
"pylint","2025-04-03 14:53:32"
"Odoo Bestand Hardware","2025-04-03 14:53:38"
"Uri Cloud","2025-04-03 14:54:43"
"Wireguard","2025-04-03 14:55:11"
"Phase Knowledge","2025-04-03 14:55:20"
"Mail Security","2025-04-03 14:55:31"
"Odoo Hosting und Lizenzierung.excalidraw","2025-04-03 14:55:47"
"dotfiles","2025-04-03 14:55:52"
"Richtlinie - Namenskonventionen","2025-04-03 14:57:07"
"Prozesse Odoo - Revision","2025-04-03 14:57:16"
"Prozesse Akquise - Kontaktaufnahme","2025-04-03 14:57:22"
"Odoo Transfer - Worklog","2025-04-03 14:57:36"
"Steuern","2025-04-03 14:57:45"
"Mail Bounce","2025-04-03 14:57:54"
"Beratungsprojekte","2025-04-03 14:58:14"
"ungleich GmbH","2025-04-03 14:58:20"
"Prozesse Beratung - Aufnahme Assets","2025-04-03 14:58:41"
"Mermaidjs","2025-04-03 14:58:54"
"Innvoation","2025-04-03 14:59:09"
"Prozesse Infrastruktur - Installation Moodle","2025-04-03 15:00:01"
"Phase Odoo Upgrade","2025-04-03 15:05:34"
"WAF-Log analysieren","2025-04-03 15:14:08"
"Frappe","2025-04-03 15:14:38"
"Dokumentation","2025-04-03 15:14:52"
"Exoscale - Extend disk space","2025-04-03 15:15:08"
"Wiederherstellung von Backups","2025-04-03 15:15:41"
"OmniaSolutions","2025-04-03 15:16:00"
"Wordpress","2025-04-03 15:16:56"
"New Rubrik Edge","2025-04-03 15:17:06"
"Odoo Customizing ohne unvorhergesehene Upgradekosten","2025-04-03 15:17:26"
"Phase Social Login","2025-04-03 15:18:41"
"Server und Applikationen mit Ansible bereitstellen","2025-04-03 15:19:04"
"Helix","2025-04-03 15:19:14"
"Disaster Recovery Plan","2025-04-03 15:19:20"
"Standard für Dokumentationssysteme","2025-04-03 15:19:27"
"autoflake","2025-04-03 15:19:39"
"Phase Build-Umgebung bereitstellen","2025-04-03 15:19:48"
"Docker - Move Docker data directory to new location","2025-04-03 15:19:55"
"Odoo ist kein ERP-System","2025-04-03 15:20:11"
"Odoo Produktdatenmanagement (PDM)","2025-04-03 15:21:18"
"Vorlage Technische Spezifikation","2025-04-03 15:21:39"
"SPDX","2025-04-03 15:21:58"
"Hetzner","2025-04-03 15:22:08"
"Standard für Dokumentationssysteme","2025-04-03 15:22:31"
"Mint System und Odoo","2025-04-03 15:22:36"
"Odoo App Show DB Name","2025-04-03 15:23:29"
"Odoo Sicherheit","2025-04-03 15:24:07"
"Behalten Sie ihre Unternehmensdaten mit Nextcloud im Griff","2025-04-03 15:24:46"
"Odoo.sh Upgrade Scripts","2025-04-03 15:24:55"
"Team Infrastruktur","2025-04-03 15:25:17"
"Phase Plannung","2025-04-03 15:25:41"
"Git Base Repo UI","2025-04-03 15:25:54"
"Prozesse Odoo.sh - Modul Migration","2025-04-03 15:25:57"
